Z,R,Uncert
11,0.0008885998,5.73927258392893E-05
12,0.0018483842,0.000081302
13,0.0075138871,0.0003769864
14,0.0159002836,0.0005638782
17,0.0519049768,0.0015030324
19,0.1037951185,0.0036738126
20,0.157404445,0.0055684216
21,0.1696575958,0.0084887224
22,0.2120087124,0.0075000533
24,0.3141048803,0.0111092904
26,0.4031278353,0.0201633401
28,0.4515714403,0.0225862579
29,0.4147950079,0.0207468178
32,0.4053048866,0.0202721776
34,0.3647408078,0.0129031221
35,0.3616074112,0.0104497897
37,0.3441869642,0.0172203781
38,0.3184200892,0.0159276531
39,0.2820819902,0.0099778461
41,0.2695370468,0.0134834195
42,0.3157720646,0.0111721534
