serial,description,density_ug/cm2,element1,density1,element2,density2
34662,Na como NaCl,49.8,11,19.5899428492,17,30.2100571508
34663,MgF2,51.8,12,20.2080678247,,
34664,Al Metal,50,13,50,,
34665,SiO,52.6,14,33.0197159636,,
34666,Chlorine as KCl,44.9,17,21.3523587879,19,23.5476412121
34667,Potassium as KI,49.3,19,11.6684306746,53,37.6315693254
34668,Potassium as KI,53.1,19,12.567822897,53,40.532177103
34669,CaF2,52.3,20,26.8470671715,20,26.8470671715
34670,ScF3 ,52.7,21,23.2383846389,,
34671,Ti metal,49.4,22,49.4,,
34672,V metal,55.2,23,55.2,,
34673,Cr Metal,52.2,24,52.2,,
34674,Cr Metal,49,24,49,,
34675,Mn Metal ,55.4,25,55.4,,
34676,Fe Metal,53.9,26,53.9,,
34677,Fe Metal,52.7,26,52.7,,
34678,Co Metal,54.8,27,54.8,,
34679,Ni Metal,50.6,28,50.6,,
34680,Ni Metal,50.2,28,50.2,,
34681,Cu Metal,46.7,29,46.7,,
34684,Ge Metal,52.6,32,52.6,,
34685,Se Metal,54,34,54,,
34686,Br como CsBr,52.3,35,19.6372296284,55,32.6627703716
34687,Rb como RbI,52,37,20.9269815559,53,31.0730184441
34688,SrF2,54.4,38,37.94498825,,
34689,YF3,49.5,39,29.0412740518,,
34690,Nb2O3,52.7,41,41.8813738665,,
34691,MoO3,50.4,42,33.5957521003,,
34692,Pd Metal,44.1,46,44.1,,
34693,Ag Metal,46.5,47,46.5,,
34694,In Metal,49.9,49,49.9,,
34695,Sn Metal,47.8,50,47.8,,
34696,Sb Metal,53.2,51,53.2,,
34697,Te Metal,47.2,52,47.2,,
34698,RbI,50.1,37,20.1631445119,53,29.9368554881
34699,BaF2,56.7,56,44.4119837926,,
34700,LaF3,53.1,57,37.6514814308,,
34701,CeF3,47.6,58,33.8366193982,,
34702,NdF3,46.1,60,33.0432449194,,
34703,SmF3,52.4,62,37.9962497323,,
34704,EuF3,46.5,63,33.8165310076,,
34705,GdF3,48.6,64,35.6710442054,,
34706,TbF3,50.9,65,37.4639117579,,
34707,DyF3,50.7,66,37.5349893756,,
34708,ErF3,49.2,68,36.6956574474,,
34709,TmF3,52.9,69,39.5546711921,,
34710,YbF3,45.1,70,33.9687613132,,
34711,WO3,51.4,74,40.7589534877,,
34712,Pt Metal,50.2,78,50.2,,
34713,Au Metal,46.4,79,46.4,,
34714,TlCl,44.8,81,38.1772223682,,
34715,Pb Metal,58.5,82,58.5,,
34716,Bi Metal,47.5,83,47.5,,
48180,SiO,51,14,32.4909549528297,8,18.5090450471703
48181,Chlorine as KCl,59.8,17,28.4379937036645,19,31.3620062963355
48182,CaF2,43.3,20,22.2276527726546,20,21.0723472273454
48183,Fe Metal,44.2,26,51,,
48184,Ni Metal,49.6,28,59.8,,
48185,Cu Metal,48.5,29,43.3,,
48186,Ge Metal,54.1,32,44.2,,
48187,Se Metal,49.4,34,49.6,,
48188,Br como CsBr,54,35,20.2754953493596,55,33.7245046506404
48189,RbI,48.3,37,19.4380092884053,53,28.8619907115947
48190,SrF2,51.8,38,36.1314410174435,9,15.6685589825565
48191,MoO3,51.4,42,34.2599532299278,8,17.1400467700722
48192,Te Metal,50.4,52,50.4,,
48193,BaF2,49.9,56,39.0856788579955,9,10.8143211420045
48194,NdF3,52.3,60,39.3417703029797,9,12.9582296970203
48195,WO3,39.5,74,31.3225420771004,8,8.17745792289955
48196,Au Metal,50,79,50,,
